Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6,Bonus_Ball
14/01/2014,2,8,10,13,35,37,5
18/01/2014,1,11,15,16,23,32,5
21/01/2014,18,22,30,34,35,37,7
25/01/2014,13,15,26,28,29,36,2
28/01/2014,20,24,26,28,32,33,6
01/02/2014,1,5,12,22,24,27,6
04/02/2014,1,2,4,28,29,31,5
08/02/2014,16,22,26,29,36,37,3
11/02/2014,2,5,18,20,23,29,3
15/02/2014,1,6,10,16,21,22,4
18/02/2014,3,7,14,21,27,37,6
22/02/2014,3,8,23,26,28,29,6
25/02/2014,5,6,11,21,22,28,2
01/03/2014,4,8,9,22,29,33,6
04/03/2014,3,6,17,23,27,32,6
08/03/2014,17,21,23,24,26,35,2
11/03/2014,1,3,6,9,34,37,3
15/03/2014,7,17,24,29,36,37,7
18/03/2014,4,9,12,14,17,29,2
22/03/2014,3,4,23,26,31,35,3
25/03/2014,3,6,16,28,32,33,2
29/03/2014,4,13,24,25,32,34,2
01/04/2014,15,17,23,25,30,35,2
05/04/2014,2,12,18,28,33,34,1
08/04/2014,10,21,28,30,31,35,6
12/04/2014,11,16,19,24,27,35,3
16/04/2014,4,9,23,28,34,36,5
19/04/2014,2,3,20,31,35,37,7
22/04/2014,1,3,5,16,26,30,5
26/04/2014,2,4,13,16,29,34,1
29/04/2014,3,5,9,14,22,23,7
03/05/2014,20,22,28,31,35,36,3
07/05/2014,6,8,9,17,29,30,4
10/05/2014,1,2,3,4,7,25,2
13/05/2014,3,11,17,20,31,32,6
17/05/2014,1,3,11,16,20,35,2
20/05/2014,2,6,12,26,30,35,3
24/05/2014,5,10,19,25,32,35,7
27/05/2014,3,4,6,18,26,29,3
31/05/2014,5,11,12,13,15,22,7
04/06/2014,11,17,19,31,36,37,1
07/06/2014,4,9,10,14,19,35,2
10/06/2014,6,8,9,25,29,37,3
14/06/2014,13,15,24,25,30,32,5
17/06/2014,7,8,15,18,29,34,4
21/06/2014,8,11,22,33,34,35,6
24/06/2014,7,8,15,30,33,34,6
28/06/2014,1,2,6,19,29,33,7
01/07/2014,5,13,17,26,29,33,5
05/07/2014,1,10,17,21,22,31,4
08/07/2014,2,5,18,19,20,31,1
12/07/2014,4,11,12,13,20,27,2
15/07/2014,7,14,20,27,29,31,5
19/07/2014,4,11,27,32,34,37,4
22/07/2014,2,10,12,23,30,33,5
26/07/2014,2,3,28,30,33,35,5
29/07/2014,3,5,8,16,17,20,2
02/08/2014,6,13,14,21,23,26,6
05/08/2014,5,9,21,23,28,33,7
09/08/2014,4,11,13,20,32,35,2
12/08/2014,3,15,21,28,30,32,4
16/08/2014,2,5,7,16,22,37,4
19/08/2014,4,16,30,32,34,36,4
23/08/2014,5,15,20,25,27,32,4
26/08/2014,2,7,10,23,26,35,6
30/08/2014,2,9,28,31,32,35,6
02/09/2014,6,10,18,27,35,36,6
06/09/2014,3,15,24,25,26,35,2
09/09/2014,2,12,14,27,29,32,5
13/09/2014,1,4,12,18,31,37,3
16/09/2014,3,8,11,19,26,35,2
20/09/2014,7,19,20,25,31,34,3
23/09/2014,7,9,10,34,35,36,7
28/09/2014,13,17,19,26,30,36,5
30/09/2014,8,13,17,18,34,36,1
05/10/2014,1,9,10,21,26,37,3
07/10/2014,8,10,15,23,26,34,1
11/10/2014,2,6,11,16,27,34,3
14/10/2014,5,10,17,23,32,36,6
18/10/2014,9,10,11,12,21,32,5
21/10/2014,5,7,9,11,24,29,1
25/10/2014,2,5,6,10,19,29,5
28/10/2014,12,15,20,30,33,37,3
01/11/2014,1,2,5,15,27,31,4
04/11/2014,2,19,28,29,34,36,6
08/11/2014,7,16,18,21,23,36,6
11/11/2014,3,11,18,25,33,36,7
15/11/2014,4,8,9,23,25,31,4
18/11/2014,1,3,29,30,33,35,2
22/11/2014,4,6,10,11,14,25,7
25/11/2014,2,9,13,16,28,29,1
29/11/2014,2,10,14,17,28,34,2
02/12/2014,1,2,9,11,15,21,2
06/12/2014,3,20,28,31,33,37,5
09/12/2014,5,7,10,15,22,35,5
13/12/2014,2,9,27,29,32,36,1
16/12/2014,9,12,25,29,34,36,5
20/12/2014,6,12,25,27,30,37,5
23/12/2014,7,9,20,24,28,35,5
27/12/2014,4,5,18,20,28,36,4
30/12/2014,1,2,5,12,34,35,4
03/01/2015,9,20,22,23,29,31,2
06/01/2015,4,13,22,25,28,30,5
10/01/2015,3,8,10,15,30,33,4
13/01/2015,4,8,17,20,25,30,1
17/01/2015,1,7,11,17,36,37,2
20/01/2015,11,24,30,34,35,37,7
24/01/2015,4,11,19,28,31,34,4
27/01/2015,4,6,13,19,33,35,6
31/01/2015,1,10,16,28,29,32,5
03/02/2015,8,12,21,24,25,27,1
07/02/2015,8,12,17,21,27,30,1
10/02/2015,1,6,10,22,24,26,3
14/02/2015,8,11,13,20,22,25,5
17/02/2015,3,13,14,18,28,30,2
21/02/2015,4,14,16,22,28,33,4
24/02/2015,10,16,22,30,35,36,2
28/02/2015,11,13,22,29,31,33,1
03/03/2015,2,10,11,13,22,37,4
07/03/2015,3,14,15,19,26,33,6
10/03/2015,6,10,15,19,36,37,3
14/03/2015,14,15,18,22,23,29,1
17/03/2015,11,15,22,29,35,37,4
21/03/2015,11,15,17,27,33,37,5
24/03/2015,2,3,5,10,26,27,2
28/03/2015,5,13,21,22,25,28,1
31/03/2015,5,13,16,18,23,26,1
04/04/2015,7,32,33,34,35,36,2
07/04/2015,11,12,15,22,23,29,7
12/04/2015,2,9,11,13,29,33,3
14/04/2015,1,2,4,9,12,16,4
18/04/2015,11,12,18,24,31,33,6
21/04/2015,1,11,13,15,18,25,6
25/04/2015,1,15,17,31,32,34,2
28/04/2015,6,9,18,23,26,33,2
02/05/2015,1,3,8,12,19,30,1
05/05/2015,6,10,12,15,27,33,1
09/05/2015,5,16,22,23,24,33,1
12/05/2015,1,13,23,24,30,31,7
16/05/2015,6,8,18,22,29,37,1
19/05/2015,15,18,22,23,26,34,6
24/05/2015,4,11,18,22,29,31,4
